From	Entry	Entry Name	Protein names	Gene Names	Organism	Length
DPM1_MOUSE	O70152	DPM1_MOUSE	Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase)	Dpm1	Mus musculus (Mouse)	260
DPM3_MOUSE	Q9D1Q4	DPM3_MOUSE	Dolichol-phosphate mannosyltransferase subunit 3 (Dolichol-phosphate mannose synthase subunit 3) (DPM synthase subunit 3) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 3) (Mannose-P-dolichol synthase subunit 3) (MPD synthase subunit 3)	Dpm3	Mus musculus (Mouse)	92
DPOE3_MOUSE	Q9JKP7	DPOE3_MOUSE	DNA polymerase epsilon subunit 3 (DNA polymerase II subunit 3) (DNA polymerase epsilon subunit p17) (NF-YB-like protein) (YB-like protein 1) (YBL1)	Pole3	Mus musculus (Mouse)	145
DRG1_MOUSE	P32233	DRG1_MOUSE	Developmentally-regulated GTP-binding protein 1 (DRG-1) (Neural precursor cell expressed developmentally down-regulated protein 3) (NEDD-3) (Translation factor GTPase DRG1) (TRAFAC GTPase DRG1) (EC 3.6.5.-)	Drg1 Drg Nedd-3 Nedd3	Mus musculus (Mouse)	367
DSG1A_MOUSE	Q61495	DSG1A_MOUSE	Desmoglein-1-alpha (Desmoglein-1) (Dsg1-alpha) (DG1) (DGI) (Desmosomal glycoprotein I)	Dsg1a Dsg1	Mus musculus (Mouse)	1057
DTX3L_MOUSE	Q3UIR3	DTX3L_MOUSE	E3 ubiquitin-protein ligase DTX3L (EC 2.3.2.27) (Protein deltex-3-like) (RING-type E3 ubiquitin transferase DTX3L)	Dtx3l Bbap	Mus musculus (Mouse)	748
DUS1L_MOUSE	Q8C2P3	DUS1L_MOUSE	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like (EC 1.3.1.88) (tRNA-dihydrouridine synthase 1-like)	Dus1l	Mus musculus (Mouse)	475
DUS3_MOUSE	Q9D7X3	DUS3_MOUSE	Dual specificity protein phosphatase 3 (EC 3.1.3.16) (EC 3.1.3.48) (T-DSP11) (Vaccinia H1-related phosphatase) (VHR)	Dusp3	Mus musculus (Mouse)	185
DYHC2_MOUSE	Q45VK7	DYHC2_MOUSE	Cytoplasmic dynein 2 heavy chain 1 (Cytoplasmic dynein 2 heavy chain) (Dynein cytoplasmic heavy chain 2) (Dynein heavy chain 11) (mDHC11) (Dynein heavy chain isotype 1B)	Dync2h1 Dhc1b Dnchc2 Kiaa1997	Mus musculus (Mouse)	4306
DYLT1_MOUSE	P51807	DYLT1_MOUSE	Dynein light chain Tctex-type 1 (Activator of G-protein signaling 2) (AGS2) (T-complex testis-specific protein 1) (TCTEX-1)	Dynlt1 Tctel1 Tctex-1 Tctex1	Mus musculus (Mouse)	113
DYN1_MOUSE	P39053	DYN1_MOUSE	Dynamin-1 (EC 3.6.5.5) (Dynamin) (Dynamin I)	Dnm1 Dnm Kiaa4093	Mus musculus (Mouse)	867
EBP_MOUSE	P70245	EBP_MOUSE	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EC 5.3.3.5) (Cholestenol Delta-isomerase) (Delta(8)-Delta(7) sterol isomerase) (D8-D7 sterol isomerase) (Emopamil-binding protein)	Ebp Msi	Mus musculus (Mouse)	230
ECH1_MOUSE	O35459	ECH1_MOUSE	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)	Ech1	Mus musculus (Mouse)	327
ECM29_MOUSE	Q6PDI5	ECM29_MOUSE	Proteasome adapter and scaffold protein ECM29 (Proteasome-associated protein ECM29 homolog)	Ecpas Ecm29 Kiaa0368	Mus musculus (Mouse)	1840
EDC4_MOUSE	Q3UJB9	EDC4_MOUSE	Enhancer of mRNA-decapping protein 4	Edc4	Mus musculus (Mouse)	1406
EDF1_MOUSE	Q9JMG1	EDF1_MOUSE	Endothelial differentiation-related factor 1 (EDF-1) (Multiprotein-bridging factor 1) (MBF1)	Edf1	Mus musculus (Mouse)	148
EF1A2_MOUSE	P62631	EF1A2_MOUSE	Elongation factor 1-alpha 2 (EF-1-alpha-2) (Eukaryotic elongation factor 1 A-2) (eEF1A-2) (Statin-S1)	Eef1a2 Eef1al Stn	Mus musculus (Mouse)	463
EFHD1_MOUSE	Q9D4J1	EFHD1_MOUSE	EF-hand domain-containing protein D1 (EF-hand domain-containing protein 1) (Mitocalcin) (Swiprosin-2)	Efhd1 Sws2	Mus musculus (Mouse)	240
EHD2_MOUSE	Q8BH64	EHD2_MOUSE	EH domain-containing protein 2	Ehd2	Mus musculus (Mouse)	543
EI2BE_MOUSE	Q8CHW4	EI2BE_MOUSE	Translation initiation factor eIF2B subunit epsilon (eIF2B GDP-GTP exchange factor subunit epsilon)	Eif2b5	Mus musculus (Mouse)	717
EIF1_MOUSE	P48024	EIF1_MOUSE	Eukaryotic translation initiation factor 1 (eIF1) (Protein translation factor SUI1 homolog)	Eif1 Sui1 Sui1-rs1	Mus musculus (Mouse)	113
ELOC_MOUSE	P83940	ELOC_MOUSE	Elongin-C (EloC) (Elongin 15 kDa subunit) (RNA polymerase II transcription factor SIII subunit C) (SIII p15) (Stromal membrane-associated protein SMAP1B homolog) (Transcription elongation factor B polypeptide 1)	Eloc Tceb1	Mus musculus (Mouse)	112
ELOV5_MOUSE	Q8BHI7	ELOV5_MOUSE	Very long chain fatty acid elongase 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl5) (ELOVL fatty acid elongase 5) (ELOVL FA elongase 5) (Elongation of very long chain fatty acids protein 5) (Very long chain 3-ketoacyl-CoA synthase 5) (Very long chain 3-oxoacyl-CoA synthase 5)	Elovl5	Mus musculus (Mouse)	299
EMC10_MOUSE	Q3TAS6	EMC10_MOUSE	ER membrane protein complex subunit 10 (Hematopoietic signal peptide-containing membrane domain-containing protein 1)	Emc10 Hsm1 Inm02	Mus musculus (Mouse)	258
EMC4_MOUSE	Q9CZX9	EMC4_MOUSE	ER membrane protein complex subunit 4 (Transmembrane protein 85)	Emc4 Tmem85	Mus musculus (Mouse)	183
EMP2_MOUSE	O88662	EMP2_MOUSE	Epithelial membrane protein 2 (EMP-2) (Protein XMP)	Emp2 Xmp	Mus musculus (Mouse)	172
EMP3_MOUSE	O35912	EMP3_MOUSE	Epithelial membrane protein 3 (EMP-3) (Hematopoietic neural membrane protein 1) (HNMP-1) (Protein YMP)	Emp3 Ymp	Mus musculus (Mouse)	163
ENPP4_MOUSE	Q8BTJ4	ENPP4_MOUSE	Bis(5'-adenosyl)-triphosphatase enpp4 (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 4) (E-NPP 4) (NPP-4)	Enpp4 Kiaa0879	Mus musculus (Mouse)	456
ENY2_MOUSE	Q9JIX0	ENY2_MOUSE	Transcription and mRNA export factor ENY2 (Enhancer of yellow 2 transcription factor homolog)	Eny2	Mus musculus (Mouse)	101
EPAB2_MOUSE	Q5XFR0	EPAB2_MOUSE	Embryonic polyadenylate-binding protein 2 (Embryonic poly(A)-binding protein 2) (ePABP-2) (ePABP2) (Embryonic poly(A)-binding protein type II) (Poly(A)-binding protein nuclear-like 1)	Pabpn1l Epabp2 Gm1108 Pabpnl1	Mus musculus (Mouse)	273
ERLN2_MOUSE	Q8BFZ9	ERLN2_MOUSE	Erlin-2 (Endoplasmic reticulum lipid raft-associated protein 2) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 2) (SPFH domain-containing protein 2)	Erlin2 Spfh2	Mus musculus (Mouse)	340
EST2C_MOUSE	Q91WG0	EST2C_MOUSE	Acylcarnitine hydrolase (ACH M1) (EC 3.1.1.28) (Carboxylesterase 2) (CES 2) (Carboxylic ester hydrolase) (EC 3.1.1.-) (Peroxisome proliferator-inducible acylcarnitine hydrolase)	Ces2c Ces2	Mus musculus (Mouse)	561
EXOS6_MOUSE	Q8BTW3	EXOS6_MOUSE	Exosome complex component MTR3 (Exosome component 6) (mRNA transport regulator 3 homolog)	Exosc6 Mtr3	Mus musculus (Mouse)	273
F136A_MOUSE	Q9CR98	F136A_MOUSE	Protein FAM136A	Fam136a	Mus musculus (Mouse)	138
F227B_MOUSE	Q9D518	F227B_MOUSE	Protein FAM227B	Fam227b	Mus musculus (Mouse)	532
FA98A_MOUSE	Q3TJZ6	FA98A_MOUSE	Protein FAM98A	Fam98a	Mus musculus (Mouse)	515
FAM3C_MOUSE	Q91VU0	FAM3C_MOUSE	Protein FAM3C (Interleukin-like EMT inducer)	Fam3c D6Wsu176e Ilei	Mus musculus (Mouse)	227
FGOP2_MOUSE	Q9CRA9	FGOP2_MOUSE	FGFR1 oncogene partner 2 homolog	Fgfr1op2	Mus musculus (Mouse)	253
FKB11_MOUSE	Q9D1M7	FKB11_MOUSE	Peptidyl-prolyl cis-trans isomerase FKBP11 (PPIase FKBP11) (EC 5.2.1.8) (19 kDa FK506-binding protein) (19 kDa FKBP) (FKBP-19) (FK506-binding protein 11) (FKBP-11) (Rotamase)	Fkbp11	Mus musculus (Mouse)	201
FKB1A_MOUSE	P26883	FKB1A_MOUSE	Peptidyl-prolyl cis-trans isomerase FKBP1A (PPIase FKBP1A) (EC 5.2.1.8) (12 kDa FK506-binding protein) (12 kDa FKBP) (FKBP-12) (Calstabin-1) (FK506-binding protein 1A) (FKBP-1A) (Immunophilin FKBP12) (Rotamase)	Fkbp1a Fkbp1	Mus musculus (Mouse)	108
FLII_MOUSE	Q9JJ28	FLII_MOUSE	Protein flightless-1 homolog	Flii Fli1 Fliih	Mus musculus (Mouse)	1271
FLOT2_MOUSE	Q60634	FLOT2_MOUSE	Flotillin-2 (Epidermal surface antigen) (ESA) (Membrane component chromosome 17 surface marker 1 homolog)	Flot2 Esa1 M17s1	Mus musculus (Mouse)	428
FMNL1_MOUSE	Q9JL26	FMNL1_MOUSE	Formin-like protein 1 (Formin-related protein)	Fmnl1 Frl Frl1	Mus musculus (Mouse)	1094
FRDA_MOUSE	O35943	FRDA_MOUSE	Frataxin, mitochondrial (Fxn) (EC 1.16.3.1) [Cleaved into: Frataxin intermediate form; Frataxin mature form; Extramitochondrial frataxin]	Fxn Frda	Mus musculus (Mouse)	207
FRG1_MOUSE	P97376	FRG1_MOUSE	Protein FRG1 (FSHD region gene 1 protein)	Frg1	Mus musculus (Mouse)	258
FZD2_MOUSE	Q9JIP6	FZD2_MOUSE	Frizzled-2 (Fz-2) (mFz2) (Frizzled-10) (Fz-10) (mFz10)	Fzd2 Fzd10	Mus musculus (Mouse)	570
G45IP_MOUSE	Q9CR59	G45IP_MOUSE	Large ribosomal subunit protein mL64 (39S ribosomal protein L59, mitochondrial) (MRP-L59) (Growth arrest and DNA damage-inducible proteins-interacting protein 1)	Gadd45gip1 Mrpl59	Mus musculus (Mouse)	222
GALT7_MOUSE	Q80VA0	GALT7_MOUSE	N-acetylgalactosaminyltransferase 7 (EC 2.4.1.41) (Polypeptide GalNAc transferase 7) (GalNAc-T7) (pp-GaNTase 7) (Protein-UDP acetylgalactosaminyltransferase 7) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 7)	Galnt7	Mus musculus (Mouse)	657
GAR1_MOUSE	Q9CY66	GAR1_MOUSE	H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1)	Gar1 Nola1	Mus musculus (Mouse)	231
GBB4_MOUSE	P29387	GBB4_MOUSE	Guanine nucleotide-binding protein subunit beta-4 (Transducin beta chain 4)	Gnb4	Mus musculus (Mouse)	340
GBG10_MOUSE	Q9CXP8	GBG10_MOUSE	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	Gng10	Mus musculus (Mouse)	68
GBG12_MOUSE	Q9DAS9	GBG12_MOUSE	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12	Gng12	Mus musculus (Mouse)	72
GBRAP_MOUSE	Q9DCD6	GBRAP_MOUSE	Gamma-aminobutyric acid receptor-associated protein (GABA(A) receptor-associated protein)	Gabarap	Mus musculus (Mouse)	117
GCN1_MOUSE	E9PVA8	GCN1_MOUSE	Stalled ribosome sensor GCN1 (GCN1 eIF-2-alpha kinase activator homolog) (GCN1-like protein 1) (General control of amino-acid synthesis 1-like protein 1) (Translational activator GCN1)	Gcn1 Gcn1l1	Mus musculus (Mouse)	2671
GCSH_MOUSE	Q91WK5	GCSH_MOUSE	Glycine cleavage system H protein, mitochondrial (Lipoic acid-containing protein)	Gcsh	Mus musculus (Mouse)	170
GFPT1_MOUSE	P47856	GFPT1_MOUSE	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1)	Gfpt1 Gfpt	Mus musculus (Mouse)	697
GGA1_MOUSE	Q8R0H9	GGA1_MOUSE	ADP-ribosylation factor-binding protein GGA1 (Gamma-adaptin-related protein 1) (Golgi-localized, gamma ear-containing, ARF-binding protein 1)	Gga1	Mus musculus (Mouse)	635
GGYF2_MOUSE	Q6Y7W8	GGYF2_MOUSE	GRB10-interacting GYF protein 2 (PERQ amino acid-rich with GYF domain-containing protein 2) (Trinucleotide repeat-containing gene 15 protein)	Gigyf2 Kiaa0642 Perq2 Tnrc15	Mus musculus (Mouse)	1291
GLMP_MOUSE	Q9JHJ3	GLMP_MOUSE	Glycosylated lysosomal membrane protein (Lysosomal protein NCU-G1)	Glmp	Mus musculus (Mouse)	404
GLOD4_MOUSE	Q9CPV4	GLOD4_MOUSE	Glyoxalase domain-containing protein 4	Glod4	Mus musculus (Mouse)	298
GLRB_MOUSE	P48168	GLRB_MOUSE	Glycine receptor subunit beta (Glycine receptor 58 kDa subunit)	Glrb	Mus musculus (Mouse)	496
GLRX1_MOUSE	Q9QUH0	GLRX1_MOUSE	Glutaredoxin-1 (Thioltransferase-1) (TTase-1)	Glrx Glrx1 Grx Grx1	Mus musculus (Mouse)	107
GLRX5_MOUSE	Q80Y14	GLRX5_MOUSE	Glutaredoxin-related protein 5, mitochondrial (Monothiol glutaredoxin-5)	Glrx5	Mus musculus (Mouse)	152
GNA12_MOUSE	P27600	GNA12_MOUSE	Guanine nucleotide-binding protein subunit alpha-12 (G alpha-12) (G-protein subunit alpha-12)	Gna12 Gna-12	Mus musculus (Mouse)	379
GOLI4_MOUSE	Q8BXA1	GOLI4_MOUSE	Golgi integral membrane protein 4 (Decapacitation factor 10) (Golgi phosphoprotein 4)	Golim4 Df10 Golph4	Mus musculus (Mouse)	655
GOT1B_MOUSE	Q9CR60	GOT1B_MOUSE	Vesicle transport protein GOT1B (Golgi transport 1 homolog B)	Golt1b	Mus musculus (Mouse)	138
GPD1L_MOUSE	Q3ULJ0	GPD1L_MOUSE	Glycerol-3-phosphate dehydrogenase 1-like protein (EC 1.1.1.8)	Gpd1l Kiaa0089	Mus musculus (Mouse)	351
GPM6A_MOUSE	P35802	GPM6A_MOUSE	Neuronal membrane glycoprotein M6-a (M6a)	Gpm6a M6a	Mus musculus (Mouse)	278
GPTC4_MOUSE	Q3TFK5	GPTC4_MOUSE	G patch domain-containing protein 4	Gpatch4 Gpatc4	Mus musculus (Mouse)	415
GPX1_MOUSE	P11352	GPX1_MOUSE	Glutathione peroxidase 1 (GPx-1) (GSHPx-1) (EC 1.11.1.9) (Cellular glutathione peroxidase) (Phospholipid-hydroperoxide glutathione peroxidase GPX1) (EC 1.11.1.12) (Selenium-dependent glutathione peroxidase 1)	Gpx1	Mus musculus (Mouse)	201
GRHPR_MOUSE	Q91Z53	GRHPR_MOUSE	Glyoxylate reductase/hydroxypyruvate reductase (EC 1.1.1.79) (EC 1.1.1.81)	Grhpr Glxr	Mus musculus (Mouse)	328
GSDMA_MOUSE	Q9EST1	GSDMA_MOUSE	Gasdermin-A (Gasdermin-1) (Gasdermin-A1) [Cleaved into: Gasdermin-A, N-terminal (GSDMA-NT); Gasdermin-A, C-terminal (GSDMA-CT)]	Gsdma Gsdm Gsdm1 Gsdma1	Mus musculus (Mouse)	446
GSTA1_MOUSE	P13745	GSTA1_MOUSE	Glutathione S-transferase A1 (EC 2.5.1.18) (13-hydroperoxyoctadecadienoate peroxidase) (EC 1.11.1.-) (Androst-5-ene-3,17-dione isomerase) (EC 5.3.3.-) (GST class-alpha member 1) (Glutathione S-transferase Ya) (Glutathione S-transferase Ya1) [Cleaved into: Glutathione S-transferase A1, N-terminally processed]	Gsta1 Gsta Gstya	Mus musculus (Mouse)	223
GSTA4_MOUSE	P24472	GSTA4_MOUSE	Glutathione S-transferase A4 (EC 2.5.1.18) (GST A4-4) (GSTA4-4) (GST class-alpha member 4) (Glutathione S-transferase 5.7) (GST 5.7)	Gsta4 Gsta	Mus musculus (Mouse)	222
GT2D2_MOUSE	Q99NI3	GT2D2_MOUSE	General transcription factor II-I repeat domain-containing protein 2 (GTF2I repeat domain-containing protein 2) (Transcription factor GTF2IRD2)	Gtf2ird2	Mus musculus (Mouse)	936
GWL_MOUSE	Q8C0P0	GWL_MOUSE	Serine/threonine-protein kinase greatwall (GW) (GWL) (EC 2.7.11.1) (Microtubule-associated serine/threonine-protein kinase-like) (MAST-L)	Mastl Gw Gwl	Mus musculus (Mouse)	865
GYS1_MOUSE	Q9Z1E4	GYS1_MOUSE	Glycogen [starch] synthase, muscle (EC 2.4.1.11) (Glycogen synthase 1)	Gys1 Gys Gys3	Mus musculus (Mouse)	738
H33_MOUSE	P84244	H33_MOUSE	Histone H3.3	H3-3a H3.3a H3f3a; H3-3b H3.3b H3f3b	Mus musculus (Mouse)	136
HA10_MOUSE	P01898	HA10_MOUSE	H-2 class I histocompatibility antigen, Q10 alpha chain	H2-Q10	Mus musculus (Mouse)	325
HA11_MOUSE	P01899	HA11_MOUSE	H-2 class I histocompatibility antigen, D-B alpha chain (H-2D(B))	H2-D1	Mus musculus (Mouse)	362
HA15_MOUSE	P06339	HA15_MOUSE	H-2 class I histocompatibility antigen, D-37 alpha chain	H2-T23	Mus musculus (Mouse)	357
HA17_MOUSE	P14429	HA17_MOUSE	H-2 class I histocompatibility antigen, Q7 alpha chain (QA-2 antigen)	H2-Q7	Mus musculus (Mouse)	334
HA1W_MOUSE	P03991	HA1W_MOUSE	H-2 class I histocompatibility antigen, K-W28 alpha chain	H2-K1 H2-K	Mus musculus (Mouse)	368
HAT1_MOUSE	Q8BY71	HAT1_MOUSE	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Histone acetyltransferase 1)	Hat1	Mus musculus (Mouse)	416
HBAZ_MOUSE	P06467	HBAZ_MOUSE	Hemoglobin subunit zeta (Alpha-like embryonic globin chain x) (Hemoglobin zeta chain) (Zeta-globin)	Hbz Hba-x Hbz1	Mus musculus (Mouse)	142
HDGR3_MOUSE	Q9JMG7	HDGR3_MOUSE	Hepatoma-derived growth factor-related protein 3 (HRP-3)	Hdgfl3 Hdgfrp3	Mus musculus (Mouse)	202
HEPS_MOUSE	O35453	HEPS_MOUSE	Serine protease hepsin (EC 3.4.21.106) [Cleaved into: Serine protease hepsin non-catalytic chain; Serine protease hepsin catalytic chain]	Hpn	Mus musculus (Mouse)	436
HFM1_MOUSE	D3Z4R1	HFM1_MOUSE	Probable ATP-dependent DNA helicase HFM1 (EC 3.6.4.12)	Hfm1	Mus musculus (Mouse)	1434
HG2A_MOUSE	P04441	HG2A_MOUSE	H-2 class II histocompatibility antigen gamma chain (Ia antigen-associated invariant chain) (Ii) (Ii chain) (MHC class II-associated invariant chain) (CD antigen CD74) [Cleaved into: Class-II-associated invariant chain peptide (CLIP)]	Cd74 Ii	Mus musculus (Mouse)	279
HIC1_MOUSE	Q9R1Y5	HIC1_MOUSE	Hypermethylated in cancer 1 protein (Hic-1)	Hic1	Mus musculus (Mouse)	733
HIC2_MOUSE	Q9JLZ6	HIC2_MOUSE	Hypermethylated in cancer 2 protein (Hic-2)	Hic2 Kiaa1020	Mus musculus (Mouse)	619
HIP1_MOUSE	Q8VD75	HIP1_MOUSE	Huntingtin-interacting protein 1 (HIP-1) (Huntingtin-interacting protein I) (HIP-I)	Hip1 Kiaa4113	Mus musculus (Mouse)	1029
HM13_MOUSE	Q9D8V0	HM13_MOUSE	Minor histocompatibility antigen H13 (EC 3.4.23.-) (Presenilin-like protein 3) (Signal peptide peptidase)	Hm13 H13 Psl3	Mus musculus (Mouse)	378
HMCN2_MOUSE	A2AJ76	HMCN2_MOUSE	Hemicentin-2	Hmcn2	Mus musculus (Mouse)	5100
HMGN2_MOUSE	P09602	HMGN2_MOUSE	Non-histone chromosomal protein HMG-17 (High mobility group nucleosome-binding domain-containing protein 2)	Hmgn2 Hmg-17 Hmg17	Mus musculus (Mouse)	90
HMOX1_MOUSE	P14901	HMOX1_MOUSE	Heme oxygenase 1 (HO-1) (EC 1.14.14.18) (P32 protein) [Cleaved into: Heme oxygenase 1 soluble form]	Hmox1	Mus musculus (Mouse)	289
HPCL1_MOUSE	P62748	HPCL1_MOUSE	Hippocalcin-like protein 1 (Neural visinin-like protein 3) (NVL-3) (NVP-3) (Visinin-like protein 3) (VILIP-3)	Hpcal1	Mus musculus (Mouse)	193
HSP7E_MOUSE	Q99M31	HSP7E_MOUSE	Heat shock 70 kDa protein 14 (NST-1) (hsr.1)	Hspa14 Hsp70-4	Mus musculus (Mouse)	509
HTRA2_MOUSE	Q9JIY5	HTRA2_MOUSE	Serine protease HTRA2, mitochondrial (EC 3.4.21.108) (High temperature requirement protein A2) (HtrA2) (Omi stress-regulated endoprotease) (Serine protease 25) (Serine proteinase OMI)	Htra2 Omi Prss25	Mus musculus (Mouse)	458
HTSF1_MOUSE	Q8BGC0	HTSF1_MOUSE	17S U2 SnRNP complex component HTATSF1 (HIV Tat-specific factor 1 homolog)	Htatsf1	Mus musculus (Mouse)	757
HYPK_MOUSE	Q9CR41	HYPK_MOUSE	Huntingtin-interacting protein K (Huntingtin yeast partner K)	Hypk	Mus musculus (Mouse)	121
ICAL_MOUSE	P51125	ICAL_MOUSE	Calpastatin (Calpain inhibitor)	Cast	Mus musculus (Mouse)	788
IDE_MOUSE	Q9JHR7	IDE_MOUSE	Insulin-degrading enzyme (EC 3.4.24.56) (Insulin protease) (Insulinase) (Insulysin)	Ide	Mus musculus (Mouse)	1019
IF172_MOUSE	Q6VH22	IF172_MOUSE	Intraflagellar transport protein 172 homolog (Protein wimple)	Ift172 Kiaa1179 Wim	Mus musculus (Mouse)	1749
IF2B3_MOUSE	Q9CPN8	IF2B3_MOUSE	Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (mIMP-3) (IGF-II mRNA-binding protein 3) (VICKZ family member 3)	Igf2bp3 Vickz3	Mus musculus (Mouse)	579
IGDC4_MOUSE	Q9EQS9	IGDC4_MOUSE	Immunoglobulin superfamily DCC subclass member 4 (Neighbor of punc e11) (Protein DDM36)	Igdcc4 Ddm36 Kiaa1628 Nope	Mus musculus (Mouse)	1252
ILK_MOUSE	O55222	ILK_MOUSE	Integrin-linked protein kinase (EC 2.7.11.1) (59 kDa serine/threonine-protein kinase) (Beta-integrin-linked kinase) (ILK-1) (ILK-2) (p59ILK)	Ilk ILK1 ILK2	Mus musculus (Mouse)	452
IMA1_MOUSE	P52293	IMA1_MOUSE	Importin subunit alpha-1 (Importin alpha P1) (Karyopherin subunit alpha-2) (Pendulin) (Pore targeting complex 58 kDa subunit) (PTAC58) (RAG cohort protein 1) (SRP1-alpha)	Kpna2 Rch1	Mus musculus (Mouse)	529
INO80_MOUSE	Q6ZPV2	INO80_MOUSE	Chromatin-remodeling ATPase INO80 (EC 3.6.4.-) (DNA helicase-related INO80 complex homolog 1) (DNA helicase-related protein INO80)	Ino80 Inoc1 Kiaa1259	Mus musculus (Mouse)	1559
INSRR_MOUSE	Q9WTL4	INSRR_MOUSE	Insulin receptor-related protein (IRR) (EC 2.7.10.1) (IR-related receptor) [Cleaved into: Insulin receptor-related protein alpha chain; Insulin receptor-related protein beta chain]	Insrr Irr	Mus musculus (Mouse)	1300
IPO4_MOUSE	Q8VI75	IPO4_MOUSE	Importin-4 (Imp4) (Importin-4a) (Imp4a) (Ran-binding protein 4) (RanBP4)	Ipo4 Imp4a Ranbp4	Mus musculus (Mouse)	1082
ISCU_MOUSE	Q9D7P6	ISCU_MOUSE	Iron-sulfur cluster assembly enzyme ISCU (NifU-like N-terminal domain-containing protein) (NifU-like protein)	Iscu Nifun	Mus musculus (Mouse)	168
IST1_MOUSE	Q9CX00	IST1_MOUSE	IST1 homolog (Charged multivesicular body protein 8) (CHMP8)	Ist1 Kiaa0174	Mus musculus (Mouse)	362
ITA4_MOUSE	Q00651	ITA4_MOUSE	Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (Lymphocyte Peyer patch adhesion molecules subunit alpha) (LPAM subunit alpha) (VLA-4 subunit alpha) (CD antigen CD49d)	Itga4	Mus musculus (Mouse)	1039
ITAM_MOUSE	P05555	ITAM_MOUSE	Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (CD antigen CD11b)	Itgam	Mus musculus (Mouse)	1153
ITB5_MOUSE	O70309	ITB5_MOUSE	Integrin beta-5	Itgb5	Mus musculus (Mouse)	798
ITM2B_MOUSE	O89051	ITM2B_MOUSE	Integral membrane protein 2B (Immature BRI2) (imBRI2) (Protein E25B) (Transmembrane protein BRI) (Bri) [Cleaved into: BRI2, membrane form (Mature BRI2) (mBRI2); BRI2 intracellular domain (BRI2 ICD); BRI2C, soluble form; Bri23 peptide (Bri2-23) (ABri23) (C-terminal peptide) (P23 peptide)]	Itm2b	Mus musculus (Mouse)	266
ITPR3_MOUSE	P70227	ITPR3_MOUSE	Inositol 1,4,5-trisphosphate receptor type 3 (IP3 receptor isoform 3) (IP3R 3) (InsP3R3) (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor)	Itpr3	Mus musculus (Mouse)	2670
K1C15_MOUSE	Q61414	K1C15_MOUSE	Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)	Krt15 Krt1-15	Mus musculus (Mouse)	452
K1C19_MOUSE	P19001	K1C19_MOUSE	Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)	Krt19 Krt1-19	Mus musculus (Mouse)	403
K1H1_MOUSE	Q61765	K1H1_MOUSE	Keratin, type I cuticular Ha1 (HKA-1) (Hair keratin, type I Ha1) (Keratin-31) (K31)	Krt31 Hka1 Krt1-1 Krtha1	Mus musculus (Mouse)	416
K2C71_MOUSE	Q9R0H5	K2C71_MOUSE	Keratin, type II cytoskeletal 71 (Cytokeratin-6G) (CK-6G) (Cytokeratin-71) (CK-71) (Keratin-6G) (K6G) (Keratin-71) (K71) (Type II inner root sheath-specific keratin-K6irs1) (mK6irs) (mK6irs1/Krt2-6g) (Type-II keratin Kb34)	Krt71 K6irs1 Kb34 Krt2-6g Krt6g	Mus musculus (Mouse)	524
K2C79_MOUSE	Q8VED5	K2C79_MOUSE	Keratin, type II cytoskeletal 79 (Cytokeratin-79) (CK-79) (Keratin-79) (K79) (Type-II keratin Kb38)	Krt79 Kb38	Mus musculus (Mouse)	531
KATL2_MOUSE	Q9D3R6	KATL2_MOUSE	Katanin p60 ATPase-containing subunit A-like 2 (Katanin p60 subunit A-like 2) (EC 5.6.1.1) (p60 katanin-like 2)	Katnal2	Mus musculus (Mouse)	539
